name	mod	context	context_source	default	live	seen	english	russian
accessories.key.open_accessories_screen	accessories	UNIVERSAL	assumed		key.keyboard.h	options		
artifacts.key.charm_of_shrinking.toggle	artifacts	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Charm of Shrinking	
artifacts.key.charm_of_sinking.toggle	artifacts	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Charm of Sinking	
artifacts.key.helium_flamingo.activate	artifacts	UNIVERSAL	assumed		key.keyboard.unknown	options	Activate Helium Flamingo	Активировать гелиевого фламинго
artifacts.key.night_vision_goggles.toggle	artifacts	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Night Vision Goggles	Вкл/выкл очки ночного видения
artifacts.key.scarf_of_invisibility.toggle	artifacts	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Scarf of Invisibility	
artifacts.key.universal_attractor.toggle	artifacts	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Universal Attractor	Вкл/выкл универсальный магнит
auroras.key.reload_aurora_configs	auroras	UNIVERSAL	bytecode		key.keyboard.unknown	options	Reload Aurora Configs	
cos.key.opencosarmorinventory	cosmeticarmorreworked	UNIVERSAL	assumed		key.keyboard.unknown	options	OpenCosmeticArmorInventory	Открытый инвентарь косметической брони
crafting_on_a_stick.key.open_curios	crafting_on_a_stick	UNIVERSAL	assumed		key.keyboard.v	options	Open Crafting on a Stick	
create.keyinfo.alt_modifier	create	UNIVERSAL	assumed		key.keyboard.left.alt	options	Alt Modifier	
create.keyinfo.ctrl_modifier	create	UNIVERSAL	assumed		key.keyboard.left.control	options	Ctrl Modifier	
create.keyinfo.rotate_menu	create	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Block Rotation Menu	Открыть меню вращения блока
create.keyinfo.shift_modifier	create	UNIVERSAL	assumed		key.keyboard.left.shift	options	Shift Modifier	
create.keyinfo.toolbelt	create	UNIVERSAL	assumed		key.keyboard.left.alt	options	Access Nearby Toolboxes	Доступ к ящикам для инструментов
create.keyinfo.toolmenu	create	UNIVERSAL	assumed		key.keyboard.left.alt	options	Focus Schematic Overlay	Фокусировка на интерфейсе схематики
framedblocks.key.update_cull	framedblocks	UNIVERSAL	assumed		key.keyboard.f9	options	Update culling cache	Обновить кэш отсечения
framedblocks.key.wipe_cache	framedblocks	UNIVERSAL	assumed		key.keyboard.unknown	options	Clear model cache	Очистить кэш моделей
ftbultimine.change_shape.next	ftbultimine	UNIVERSAL	assumed		key.keyboard.up	options	Cycle to Next Shape	Переключиться на след. форму
ftbultimine.change_shape.prev	ftbultimine	UNIVERSAL	assumed		key.keyboard.down	options	Cycle to Previous Shape	Переключиться на пред. форму
iris.keybind.reload	iris	UNIVERSAL	assumed		key.keyboard.r	options	Reload Shaders	Перезагрузить шейдеры
iris.keybind.shaderPackSelection	iris	UNIVERSAL	assumed		key.keyboard.o	options	Shaderpack Selection Screen	Список наборов шейдеров
iris.keybind.toggleShaders	iris	UNIVERSAL	assumed		key.keyboard.k	options	Toggle Shaders	Переключить шейдеры
iris.keybind.wireframe	iris	UNIVERSAL	assumed		key.keyboard.unknown	options	Wireframe (SP only)	
justdirethings.key.toggle_tool	justdirethings	UNIVERSAL	assumed		key.keyboard.v	options	Toggle Tool Abilities	Переключить способности инструмента
justdirethings.key.toolUI	justdirethings	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Tool Settings UI	Открыть настройки инструмента
justzoom.keybinds.keybind.zoom	justzoom	UNIVERSAL	assumed		key.keyboard.z	options	Zoom	
key.actualladditions.crafting_stick_open.desc	actuallyadditions	IN_GAME	bytecode		key.keyboard.unknown	options	Open the Crafting Stick	
key.advanced_ae.pattern_encoder_action	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Advanced Pattern Encoder	Открытый усовершенствованный кодировщик шаблонов
key.advanced_ae.pick_craft	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Attempt crafting targeted block	Попытка создания целевого блока
key.advanced_ae.portable_workbench	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Portable Workbench	Открыть портативный верста
key.advanced_ae.quantum_armor_config	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Quantum Armor Configuration	Открыть конфигурацию квантовой брони
key.advanced_ae.quantum_auto_stock_upgrade	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Quantum Armor Auto Stock	Переключение режимов квантовой брони «Автозапас»
key.advanced_ae.quantum_magnet_upgrade	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Quantum Armor Magnet	Переключение режимов квантовой брони «Магнит»
key.advanced_ae.quantum_night_vision_upgrade	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Quantum Armor Night Vision	Переключение режимов квантовой брони «Ночное видение»
key.advancements	minecraft	UNIVERSAL	assumed		key.keyboard.l	options		
key.ae2.ae2wtlib_magnet	ae2wtlib	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Magnet Card	Переключить магнитную карту
key.ae2.ae2wtlib_restock	ae2wtlib	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Restock	Переключить авто пополнение
key.ae2.ae2wtlib_stow	ae2wtlib	UNIVERSAL	assumed		key.keyboard.unknown	options	Stow stack in hand into ME System	
key.ae2.mouse_wheel_item_modifier	ae2	IN_GAME	bytecode		key.keyboard.left.shift	options	Modifier for Mouse-Wheel Items	Модификатор для предметов колёсика мыши
key.ae2.part_placement_opposite	ae2	IN_GAME	bytecode		key.keyboard.left.control	options	Place Parts on Opposite Side	Поместите части на противоположную сторону
key.ae2.portable_fluid_cell	ae2	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Portable Fluid Cell	Открыть переносную жидкостную ячейку
key.ae2.portable_item_cell	ae2	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Portable Item Cell	Открыть переносную предметную ячейку
key.ae2.wireless_exp_encoding_terminal	ae2	UNIVERSAL	assumed		key.keyboard.unknown	options		
key.ae2.wireless_pattern_access_terminal	ae2wtlib	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Pattern Access Terminal	Открыть беспроводной терминал шаблонов
key.ae2.wireless_pattern_encoding_terminal	ae2wtlib	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Pattern Encoding Terminal	Открыть беспроводной терминал интерфейса
key.ae2.wireless_quantum_crafter_terminal	advanced_ae	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Quantum Crafter Terminal	Open Wireless Quantum Crafter Terminal
key.ae2.wireless_requester_terminal	merequester	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Requester Terminal	
key.ae2.wireless_terminal	ae2	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Terminal	Открыть беспроводной терминал
key.aether.gravitite_jump_ability.desc	aether	UNIVERSAL	assumed		key.keyboard.space	options	Activate Gravitite Jump	Активировать Гравититовый прыжок
key.aether.invisibility_toggle.desc	aether	UNIVERSAL	assumed		key.keyboard.v	options	Toggle Invisibility	Переключить невидимость
key.aether.open_accessories.desc	aether	UNIVERSAL	assumed		key.keyboard.i	options	Open/Close Accessories Inventory	Откр/Закр инвентарь Аксессуаров
key.apotheosis.compare_equipment	apotheosis	UNIVERSAL	assumed		key.keyboard.left.shift	options	Compare Hovered Equipment	Сравнить экипировку под курсором
key.apotheosis.link_item_to_chat	apotheosis	UNIVERSAL	assumed		key.keyboard.t:SHIFT	options	Link Hovered Item to Chat	Отправить предмет под курсором в чат
key.apotheosis.open_world_tier_select	apotheosis	UNIVERSAL	assumed		key.keyboard.t:CONTROL	options	Open World Tier Select	Открыть выбор уровня мира
key.apotheosis.toggle_radial_mining	apotheosis	UNIVERSAL	assumed		key.keyboard.o:CONTROL	options	Change Radial Mining Mode	Изменить режим радиальной добычи
key.ars_additions.open_lectern	ars_additions	IN_GAME	bytecode		key.keyboard.unknown	options	[Ars Additions] Activate Warp Index	
key.ars_elemental.open_pouch	ars_elemental	UNIVERSAL	assumed		key.keyboard.j	options	[Elemental] Open trinkets pouch	[Элементаль] Открыть мешочек для безделушек
key.ars_nouveau.familiar_toggle	ars_nouveau	UNIVERSAL	assumed		key.keyboard.unknown	options	Summon/Dispel Familiar	Призвать/рассеять фамильяра
key.ars_nouveau.head_curio_hotkey	ars_nouveau	UNIVERSAL	assumed		key.keyboard.g	options	Head Curio Menu	Главное меню Curio
key.ars_nouveau.next_slot	ars_nouveau	UNIVERSAL	assumed		key.keyboard.x	options	(Spell Book) Next Slot	(Книга заклинаний) След. слот
key.ars_nouveau.open_book	ars_nouveau	UNIVERSAL	assumed		key.keyboard.c	options	(Spell Book) Open Book	(Книга заклинаний) Откр. книгу
key.ars_nouveau.open_documentation	ars_nouveau	UNIVERSAL	assumed		key.keyboard.left.control	options	Open Documentation	
key.ars_nouveau.previous_slot	ars_nouveau	UNIVERSAL	assumed		key.keyboard.z	options	(Spell Book) Previous Slot	(Книга заклинаний) Пред. слот
key.ars_nouveau.qc1	ars_nouveau	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 01	Слот быстрого каста 01
key.ars_nouveau.qc10	ars_nouveau	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 10	Слот быстрого каста 10
key.ars_nouveau.qc2	ars_nouveau	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 02	Слот быстрого каста 02
